id,name,sport_type,start_date,moving_time,elapsed_time,distance,total_elevation_gain,average_speed,average_heart_rate,max_heart_rate,kudos_count,comment_count,achievement_count,visibility,data_source
,,Run,2010-01-01 01:00:00,10:18:55,10:18:55,103247.0,6987.8,2.78,,,0.0,,,,public_dataset
,,Run,2016-02-02 14:28:05,0:55:20,1:03:22,10985.9,14.7,3.309,,,0.0,,,,public_dataset
,,Run,2016-02-03 07:33:56,1:14:27,1:21:25,16433.1,56.8,3.679,,,0.0,,,,public_dataset
,,Run,2016-03-04 12:00:49,0:56:22,1:07:59,10896.1,25.9,3.222,,,0.0,,,,public_dataset
,,Run,2016-03-05 11:10:45,1:28:16,1:31:05,12677.1,11.1,2.394,,,0.0,,,,public_dataset
,,Run,2016-03-06 11:10:30,1:45:16,1:48:18,16494.3,98.5,2.612,,,0.0,,,,public_dataset
,,Run,2016-03-08 20:02:57,0:46:49,0:52:17,8288.2,38.8,2.951,,,0.0,,,,public_dataset
,,Run,2016-03-09 12:51:24,1:19:23,1:21:53,15536.6,78.5,3.262,,,0.0,,,,public_dataset
,,Run,2016-03-11 17:11:28,1:12:42,1:16:15,14016.4,66.5,3.213,,,0.0,,,,public_dataset
,,Run,2016-03-13 10:01:13,1:12:00,1:12:28,13813.6,121.4,3.198,,,0.0,,,,public_dataset
,,Run,2016-03-14 13:49:50,0:49:57,0:54:19,8932.3,73.9,2.98,,,0.0,,,,public_dataset
,,Run,2016-03-15 12:30:09,0:33:13,0:34:42,6401.3,78.2,3.212,,,0.0,,,,public_dataset
,,Run,2016-03-19 11:00:34,0:40:45,0:40:55,9362.9,0.0,3.829,,,0.0,,,,public_dataset
,,Run,2016-03-19 11:45:38,0:19:01,0:19:51,3057.9,0.0,2.68,,,0.0,,,,public_dataset
,,Run,2016-03-20 08:42:17,1:49:37,1:56:34,21552.8,92.8,3.277,,,0.0,,,,public_dataset
,,Run,2016-03-22 12:02:52,0:53:54,1:14:59,9628.4,14.6,2.977,,,0.0,,,,public_dataset
,,Run,2016-03-23 12:22:01,0:51:11,0:52:49,9635.7,31.3,3.138,,,0.0,,,,public_dataset
,,Run,2016-03-24 12:11:38,1:51:09,1:58:38,20931.2,47.6,3.139,,,0.0,,,,public_dataset
,,Run,2016-03-26 13:01:07,0:40:36,1:02:48,8529.7,16.3,3.502,,,0.0,,,,public_dataset
,,Run,2016-03-28 13:21:39,1:17:29,1:30:04,16195.2,70.7,3.484,147.9,182.0,0.0,,,,public_dataset
,,Run,2016-03-29 17:39:58,0:58:50,1:40:31,6853.3,262.0,1.941,,,0.0,,,,public_dataset
,,Run,2016-03-30 11:49:05,0:15:13,0:20:55,2162.3,47.8,2.368,121.9,165.0,0.0,,,,public_dataset
,,Run,2016-03-30 12:25:50,0:47:41,0:48:47,9134.4,427.1,3.193,,,3.0,,,,public_dataset
,,Run,2016-03-31 12:42:00,0:14:38,0:19:18,1318.9,129.6,1.502,,,0.0,,,,public_dataset
,,Run,2016-03-31 17:03:18,0:21:41,0:26:55,3308.4,134.9,2.543,,,0.0,,,,public_dataset
,,Run,2016-04-01 10:54:46,0:07:35,0:08:33,666.4,92.4,1.465,,,0.0,,,,public_dataset
,,Run,2016-04-01 11:19:23,0:30:03,0:30:29,5475.7,298.6,3.037,,,1.0,,,,public_dataset
,,Run,2016-04-04 12:43:43,0:46:20,0:48:04,9907.0,26.1,3.564,157.3,183.0,0.0,,,,public_dataset
,,Run,2016-04-05 12:48:32,1:18:19,1:20:59,15796.5,71.1,3.362,,,0.0,,,,public_dataset
,,Run,2016-04-09 08:26:57,0:34:56,0:42:32,4789.4,59.3,2.285,,,0.0,,,,public_dataset
,,Run,2016-04-12 11:24:33,2:01:40,2:36:41,11625.1,716.2,1.592,,,0.0,,,,public_dataset
,,Run,2016-04-13 11:03:39,0:59:46,1:07:32,10241.3,180.5,2.856,,,0.0,,,,public_dataset
,,Run,2016-04-13 17:44:12,0:42:24,0:44:44,8069.6,310.5,3.172,,,0.0,,,,public_dataset
,,Run,2016-04-14 12:42:23,1:13:29,1:46:16,10535.9,608.5,2.39,,,0.0,,,,public_dataset
,,Run,2016-04-15 07:44:13,0:31:27,0:32:25,5186.5,106.8,2.749,,,0.0,,,,public_dataset
,,Run,2016-04-16 18:03:29,0:21:16,0:22:56,4057.4,32.3,3.18,,,0.0,,,,public_dataset
,,Run,2016-04-19 19:16:16,0:41:48,0:45:40,8036.8,26.1,3.204,147.8,188.0,0.0,,,,public_dataset
,,Run,2016-04-20 18:47:20,0:12:24,0:13:38,2188.7,0.0,2.942,168.5,199.0,0.0,,,,public_dataset
,,Run,2016-04-20 19:06:30,0:25:09,0:25:34,6500.7,10.1,4.308,185.9,217.0,0.0,,,,public_dataset
,,Run,2016-04-21 13:37:03,0:33:26,0:37:37,6870.3,14.1,3.425,147.6,179.0,0.0,,,,public_dataset
,,Run,2016-04-21 18:26:22,0:26:01,0:26:41,4071.6,17.7,2.608,,,0.0,,,,public_dataset
