Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed
1,2023-12-09T09:09:19Z,Run,10879.7,4023,4617,91.4,"[40.70327935740352, -73.99619171395898]","[40.69340907968581, -73.97922154515982]",Run,2023-12-09T14:09:19Z,(GMT-05:00) America/New_York,4,4,0,3,0,2.704,6.228
2,2023-12-07T17:31:50Z,Run,1304.4,722,62993,0,"[40.7220459356904, -74.03641730546951]","[40.719722136855125, -74.03257705271244]",Run,2023-12-07T22:31:50Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.807,4.044
3,2023-12-03T09:18:13Z,Run,17503,7370,7462,68.4,"[40.74991073459387, -73.98751585744321]","[40.73538766242564, -73.9793517999351]",Run,2023-12-03T14:18:13Z,(GMT-05:00) America/New_York,2,5,0,4,0,2.375,6.778
4,2023-12-02T09:41:14Z,Run,3457.8,1791,2170,3.9,"[40.72203076444566, -74.03641068376601]","[40.71398631669581, -74.03902692720294]",Run,2023-12-02T14:41:14Z,(GMT-05:00) America/New_York,0,2,0,3,0,1.931,4.522
5,2023-12-01T17:06:05Z,Run,10108.2,4128,4221,6.3,"[40.72190687991679, -74.03624514117837]","[40.71669920347631, -74.03264125809073]",Run,2023-12-01T22:06:05Z,(GMT-05:00) America/New_York,4,5,0,1,0,2.449,5.462
6,2023-11-29T17:22:51Z,Run,6694.7,2913,2983,9.8,"[40.72185751050711, -74.03604313731194]","[40.719508565962315, -74.03692323714495]",Run,2023-11-29T22:22:51Z,(GMT-05:00) America/New_York,1,2,1,1,0,2.298,4.972
7,2023-11-26T09:16:39Z,Run,6518.5,2545,2735,5,"[40.74989422224462, -73.98728493601084]","[40.71740294806659, -74.01325140148401]",Run,2023-11-26T14:16:39Z,(GMT-05:00) America/New_York,0,2,0,4,0,2.561,4.738
8,2023-11-09T17:46:38Z,Run,10137.9,4027,4037,0,"[40.72207803837955, -74.03637405484915]","[40.7126241736114, -74.04014498926699]",Run,2023-11-09T22:46:38Z,(GMT-05:00) America/New_York,10,2,0,1,0,2.517,8.032
9,2023-11-07T17:31:51Z,Run,5065.6,1974,2012,5,"[40.7218580134213, -74.03597440570593]","[40.717102037742734, -74.03721358627081]",Run,2023-11-07T22:31:51Z,(GMT-05:00) America/New_York,2,3,0,1,0,2.566,5.092
10,2023-11-04T16:20:18Z,Run,32192.3,14536,15709,5.2,"[40.721997655928135, -74.0361484978348]","[40.721965469419956, -74.03655661270022]",Run,2023-11-04T20:20:18Z,(GMT-05:00) America/New_York,17,2,0,2,0,2.215,10.26
11,2023-11-02T18:25:15Z,Run,4900.2,1936,2051,32.3,"[40.721952226012945, -74.03657790273428]","[40.72179280221462, -74.03659525327384]",Run,2023-11-02T22:25:15Z,(GMT-05:00) America/New_York,0,1,0,1,0,2.531,5.144
12,2023-11-01T18:08:35Z,Run,10065.4,4326,4672,5.2,"[40.7218543253839, -74.0359671972692]","[40.71971266530454, -74.04391785152256]",Run,2023-11-01T22:08:35Z,(GMT-05:00) America/New_York,0,2,0,2,0,2.327,3.78
13,2023-10-31T18:13:17Z,Run,5080.1,1924,2560,56.2,"[40.721805123612285, -74.03677185997367]","[40.72345803491771, -74.04614148661494]",Run,2023-10-31T22:13:17Z,(GMT-05:00) America/New_York,0,2,0,2,0,2.64,4.313
14,2023-10-29T18:03:13Z,Run,5033.4,2035,2101,9.1,"[40.721982987597585, -74.03636299073696]","[40.71321040391922, -74.03809829615057]",Run,2023-10-29T22:03:13Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.473,15.858
15,2023-10-28T08:55:44Z,Run,17774.7,7174,8239,92.9,"[40.76331012882292, -73.96522837691009]","[40.768565498292446, -73.98148591630161]",Run,2023-10-28T12:55:44Z,(GMT-05:00) America/New_York,4,3,0,2,0,2.478,4.278
16,2023-10-23T09:11:55Z,Run,5078.5,1948,1951,46.8,"[44.04940886422992, -71.65654697455466]","[44.04988059774041, -71.65964526124299]",Run,2023-10-23T13:11:55Z,(GMT-05:00) America/New_York,0,2,0,2,0,2.607,3.814
17,2023-10-21T11:02:30Z,Hike,4584.9,6116,7263,290.4,"[44.09742157906294, -71.68008327484131]","[44.09736935980618, -71.67967398650944]",Hike,2023-10-21T15:02:30Z,(GMT-05:00) America/New_York,0,1,0,3,0,0.75,2.511
18,2023-10-19T19:22:33Z,Run,6090.6,2449,2824,7.4,"[40.72185818105936, -74.03593090362847]","[40.72167386300862, -74.0365753043443]",Run,2023-10-19T23:22:33Z,(GMT-05:00) America/New_York,0,1,0,2,0,2.487,4.175
19,2023-10-15T14:17:29Z,Workout,0,2564,2564,0,[],[],Tennis,2023-10-15T18:17:29Z,(GMT-04:00) America/Anguilla,0,1,0,1,0,0,0
20,2023-10-12T18:27:56Z,Run,4093,2730,2735,3.7,"[40.721869580447674, -74.0360417123884]","[40.71644648909569, -74.03265483677387]",Run,2023-10-12T22:27:56Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.499,5.714
