country;fulltitle;country_OEL;continent;continent_OEL;panel#;charruns;charrunamount;charlength;charaveragelength;charmaxlength;charproportion;locationruns;locrunamount;loclength;locaveragelength;locmaxlength;locproportion;timeruns;timerunamount;timelength;timeaveragelength;timemaxlength;timeproportion;continuityruns;continuityrunamount;continuitylength;continuityaveragelength;continuitymaxlength;continuityproportion;discontinuity;discontinuityrunamount;discontinuitylength;discontinuitylength;discontinuitymaxlength;discontinuityproportion
Belgium/Flanders;Baxter - H2O;Belgium/Flanders;Europe;Europe;153;67;31;98;3.161290323;12;64.05228758;108;26;134;5.153846154;17;87.58169935;145;8;153;19.25;73;100;54;29;83;2.862068966;7;54.24836601;4;4;8;2;2;5.22875817
Belgium/Flanders;Bessy  - Ondergang in de grot;Belgium/Flanders;Europe;Europe;156;47;26;73;2.807692308;6;46.79487179;132;16;148;9.25;26;94.87179487;133;20;153;7.65;19;98.07692308;42;27;69;2.555555556;5;44.23076923;12;10;22;2.2;3;14.1025641
Belgium/Flanders;Bessy Natuurkommando - De nacht van de schildpad;Belgium/Flanders;Europe;Europe;153;45;31;76;2.451612903;5;49.67320261;109;24;133;5.541666667;22;86.92810458;136;16;152;9.5;30;99.34640523;38;26;64;2.461538462;5;41.83006536;11;11;22;2;2;14.37908497
Belgium/Flanders;Biebel - De Doos;Belgium/Flanders;Europe;Europe;151;64;33;97;2.939393939;10;64.2384106;135;12;148;12.33333333;66;98.01324503;147;4;151;38.25;64;100;63;32;95;2.96875;10;62.91390728;2;2;4;2;2;2.649006623
Belgium/Flanders;De avonturen van Johan en Stefan - De Zondebokken;Belgium/Flanders;Europe;Europe;149;53;31;84;2.709677419;6;56.37583893;117;17;134;7.882352941;19;89.93288591;145;1;146;146;0;97.98657718;45;29;74;2.551724138;6;49.66442953;1;1;2;2;2;1.342281879
Belgium/Flanders;De avonturen van Jommeke - De muzikale Bella;Belgium/Flanders;Europe;Europe;155;71;37;108;2.918918919;11;69.67741935;113;24;137;5.708333333;18;88.38709677;144;9;154;17.11111111;69;99.35483871;60;38;98;2.578947368;8;63.22580645;7;7;14;2;2;9.032258065
Belgium/Flanders;De avonturen van Nero en Co - De brief aan Nasser;Belgium/Flanders;Europe;Europe;158;54;29;83;2.862068966;6;52.53164557;121;25;146;5.84;16;92.40506329;151;7;79;11.28571429;33;50;50;29;79;2.724137931;6;50;6;6;12;2;2;7.594936709
Belgium/Flanders;De avonturen van Nero en Co - De hoorn des overvloeds;Belgium/Flanders;Europe;Europe;161;52;30;82;2.733333333;5;50.93167702;132;17;149;8.764705882;30;92.54658385;153;8;161;20.25;64;100;49;29;78;2.689655172;5;48.44720497;7;7;14;2;2;8.695652174
Belgium/Flanders;De Avonturen van Urbanus - Tegen de Dikkenekken;Belgium/Flanders;Europe;Europe;161;41;29;70;2.413793103;6;43.47826087;120;29;149;5.137931034;22;92.54658385;154;6;82;13.66666667;60;50.93167702;37;26;63;2.423076923;6;39.13043478;6;6;12;2;2;7.453416149
Belgium/Flanders;De Kiekeboes - Vluchtmisdrijf;Belgium/Flanders;Europe;Europe;151;58;30;88;2.933333333;6;58.2781457;115;27;142;5.259259259;20;94.0397351;142;9;151;16.77777778;30;100;52;29;81;2.793103448;6;53.64238411;8;8;16;2;2;10.59602649
