Country_OEL;Semantic;Averagelength;Proportion
Belgium/Flanders;Character;2.979296535;51.91945392
China;Character;2.600662704;43.16320982
France;Character;3.06834977;42.04627197
Germany;Character;3.158008705;57.45411975
Japan;Character;2.644525048;33.62498082
Korea;Character;2.694397899;36.72995839
Netherlands;Character;3.163585782;59.61845743
OEL manga;Character;2.777455733;41.64061599
Sweden;Character;2.807638671;47.49062812
USA;Character;2.972887917;48.44257277
Belgium/Flanders;Spatial Location;7.127669667;91.34096498
China;Spatial Location;10.13072948;83.6057092
France;Spatial Location;6.543006424;77.69755243
Germany;Spatial Location;4.621784898;67.1529469
Japan;Spatial Location;9.352082355;89.67499196
Korea;Spatial Location;7.152571419;86.48889013
Netherlands;Spatial Location;6.287475536;89.80738814
OEL manga;Spatial Location;6.031265955;85.0605377
Sweden;Spatial Location;7.287536447;88.32169974
USA;Spatial Location;5.907000105;81.8002869
Belgium/Flanders;Time;24.63591856;80.6752671
China;Time;6.159978134;81.82988357
France;Time;12.57155485;77.32530608
Germany;Time;11.64108209;92.67179718
Japan;Time;5.735648962;80.63477302
Korea;Time;6.588234656;90.14253958
Netherlands;Time;23.29775426;82.95468125
OEL manga;Time;7.552021329;91.6576191
Sweden;Time;5.071267895;82.72491372
USA;Time;8.55546795;89.96613458
