country_OEL;fulltitle;Situational;Averagelength;Proportion
Belgium/Flanders;Baxter - H2O;Time;19.25;100
Belgium/Flanders;Bessy  - Ondergang in de grot;Time;7.65;98.07692308
Belgium/Flanders;Bessy Natuurkommando - De nacht van de schildpad;Time;9.5;99.34640523
Belgium/Flanders;Biebel - De Doos;Time;38.25;100
Belgium/Flanders;De avonturen van Johan en Stefan - De Zondebokken;Time;146;97.98657718
Belgium/Flanders;De avonturen van Jommeke - De muzikale Bella;Time;17.11111111;99.35483871
Belgium/Flanders;De avonturen van Nero en Co - De brief aan Nasser;Time;11.28571429;50
Belgium/Flanders;De avonturen van Nero en Co - De hoorn des overvloeds;Time;20.25;100
Belgium/Flanders;De Avonturen van Urbanus - Tegen de Dikkenekken;Time;13.66666667;50.93167702
Belgium/Flanders;De Kiekeboes - Vluchtmisdrijf;Time;16.77777778;100
Belgium/Flanders;De Kriegels - Happy Halloween, Mister Zablowski;Time;7.4;98.66666667
Belgium/Flanders;De Rode Ridder - Het gebroken zwaard;Time;24;45.85987261
Belgium/Flanders;De rode ridder - Kerwyn de Magiër;Time;11;99.35483871
Belgium/Flanders;De Spookjes - Spoken en piraten;Time;21.14285714;98.01324503
Belgium/Flanders;De Vrolijke Bengels;Time;8;100
Belgium/Flanders;Detective Van Zwam - Het Geheim van Matsuoka;Time;25.66666667;98.71794872
Belgium/Flanders;F.C. De Kampioenen - Miss Moeial;Time;15.2;98.06451613
Belgium/Flanders;FC Schwalbe - Daar is 'm ;Time;7.894736842;99.33774834
Belgium/Flanders;Het Grote Kabouter Wesley Boek;Time;21;100
Belgium/Flanders;Jan Zonder Vrees;Time;151;100
Belgium/Flanders;Jerom - De bronzen kabouter;Time;10.64285714;99.33333333
Belgium/Flanders;Jommeke - Het piepend bed;Time;12;23.37662338
Belgium/Flanders;K3 - De hoed van Ya Ya Yippee;Time;20.33333333;39.61038961
Belgium/Flanders;Kari Lente & Co;Time;16;42.66666667
Belgium/Flanders;Meesterwerken in Beeld - Robinson Crusoë;Time;91;100
Belgium/Flanders;Otto - Op hete kolen;Time;37.75;100
Belgium/Flanders;Piet Pienter en Bert Bibber - Invasie uit het heelal;Time;10.92857143;95.625
Belgium/Flanders;Samson & Gert - De Vliegsiroop;Time;21.85714286;100
Belgium/Flanders;Sloeber - Het Komplot;Time;16.52631579;100
Belgium/Flanders;Suske en Wiske - De Poenschepper;Time;12.23076923;98.75776398
Belgium/Flanders;Suske en Wiske - De snorrende snor;Time;26.5;100
Belgium/Flanders;Suske en Wiske - De sprietatoom;Time;15.33333333;29.48717949
Belgium/Flanders;Suske en Wiske - Het geheim van de Kalmhoutse heide;Time;19.5;100
Belgium/Flanders;Suske en Wiske - Op het eiland Amoras;Time;5.5;7.236842105
Belgium/Flanders;Suske en Wiske - Rikki en Wiske;Time;38;100
Belgium/Flanders;Thomas Pips - De rode Heks;Time;2.5;3.246753247
Belgium/Flanders;W817 - Een keivet akke-fietje;Time;15.1;99.34210526
Belgium/Flanders;Waterland - Onweer;Time;8.8;96.35036496
Belgium/Flanders;Weer over naar jou;Time;9;46.75324675
Belgium/Flanders;Willeke - De draak van Kokoluput;Time;3.888888889;11.51315789
China;1/2 Prince;Time;2.857142857;60
China;Divine Melody;Time;6.909090909;80
China;Heaven Sword and Dragon Sabre  - The King of Gold Lion-Zhune Shai;Time;22.85714286;99.37888199
China;Mega Dragon & Tiger Future Kung Fu Action;Time;4.03030303;86.92810458
China;Saint Legend;Time;7.075;90.12738854
China;SNK vs. Capcom: SVC Chaos;Time;4.517241379;87.33333333
China;Storm Riders;Time;5.489795918;91.18644068
China;SVC Chaos: SNK vs Capcom ;Time;3.272727273;81.81818182
China;The King of Fighters;Time;7.65;96.83544304
China;The King of Fighters: 2003;Time;5.206896552;92.07317073
China;Tiger x Crane Record of the Demon Master;Time;3.842105263;60.33057851
China;Xiewang Lin Jie;Time;3.987654321;94.72140762
China;Yin Zhi Shoumuren (Silver Gravekeeper);Time;2.384615385;43.05555556
France;Abélard - Une brève histoire de poussière et de cendre;Time;2;8.791208791
France;Alter Ego;Time;9.125;46.79487179
France;Catman - Une aventure de Cliff Burton;Time;8.305555556;96.4516129
France;Child of the Storm;Time;18.18181818;99.00990099
France;Donjon - La Fin du Donjon;Time;11.04545455;44.66911765
France;Final Incal;Time;15;98.7804878
France;La Vie En Rose - La Dernière Pluie;Time;8.333333333;99.33774834
France;La Voyageuse de Petite Ceinture;Time;14.5;47.38562092
France;Le Cahier à Fleurs - Mauvaise Orchestration;Time;5.307692308;90.19607843
France;Le Muret;Time;20.42857143;97.94520548
France;Le Soldat;Time;22.875;99.45652174
France;LoRaNnE - Frisco;Time;8.054054054;93.71069182
France;Marsupilami: Sur la piste du Marsupilami;Time;2.1;11.90926276
France;Metabarons Genesis: Castaka;Time;10.83333333;65.65656566
France;Notre Dame - Le Jour des Fous;Time;6.323529412;68.47133758
France;Percy Shelley;Time;3.814814815;70.54794521
France;Pietrolino;Time;6.5;97.27891156
France;Screaming Planet - Eucharist Sun;Time;13.5;100
France;Screaming Planet - The Guilt;Time;22;93.61702128
France;Screaming Planet - The Invasion;Time;19.625;99.36708861
France;Screaming Planet - The Last Word;Time;8.75;97.22222222
France;Skipper - Somalia;Time;29.8;98.67549669
France;Trans-Amazonie - La Chute du Masque;Time;30;100
France;Tsunami;Time;12.28571429;92.47311828
France;Une Folie Très Ordinaire;Time;5.6;15.38461538
Germany; Larry Potter;Time;15;98.68421053
Germany;Die Band;Time;5.206896552;48.70967742
Germany;Fix und Foxi;Time;15.1;100
Germany;König Kobra;Time;3.794117647;83.22580645
Germany;Moga Mobo;Time;19.125;34.69387755
Germany;Mulle - Das Beliebteste Pferd der Welt;Time;5;100
Germany;Mulle - Das geplagteste Pferd der Welt;Time;5;100
Germany;Mulle - Das lauteste Pferd der Welt;Time;5;100
Germany;Mulle - Das sportlichste Pferd der Welt;Time;5;100
Germany;Mulle - das Teufelspferd;Time;19;100
Germany;Mulle - Das Turbo-Pferd;Time;11;100
Germany;Mulle - Das ungluecklichste Pferd der Welt;Time;5;100
Germany;Mulle - Das verfressenste Pferd der Welt;Time;5;100
Germany;Mulle - Das verrueckteste Pferd der Welt;Time;5;100
Germany;Mulle - im Rueckwaertsgang;Time;18;100
Germany;Mulle - Mulle dreht voll auf;Time;16.33333333;98
Germany;Mulle - wird spruchreif;Time;24;100
Germany;Operation Odin;Time;14.45454545;98.75776398
Germany;Werner;Time;25.16666667;98.69281046
Japan;12 sai. ~Kokoro~;Time;9.851851852;93.66197183
Japan;Absolute Boyfriend;Time;7.192307692;93.5
Japan;Ahiru No Sora;Time;6.923076923;87.37864078
Japan;Air Gear;Time;2.924528302;71.10091743
Japan;Ansatsu Kyoushitsu;Time;4.473684211;89.78873239
Japan;Ao no Exorcist;Time;2.928571429;73.21428571
Japan;Ashi-Girl;Time;4.222222222;59.375
Japan;Assassination Classroom;Time;5.592592593;79.89417989
Japan;Attack on Titan;Time;7.272727273;88.88888889
Japan;Baby and Me;Time;16;96.96969697
Japan;Baby Steps;Time;4;80.8988764
Japan;Beelzebub;Time;2.685714286;49.21465969
Japan;Big Windup!;Time;7.8;83.87096774
Japan;Billy Bat;Time;7.916666667;95.95959596
Japan;Bleach;Time;6.868421053;92.22614841
Japan;Blue Something;Time;3.271186441;75.98425197
Japan;Bread & Butter;Time;3.5;75.67567568
Japan;Cage of Eden;Time;2.476923077;54.94880546
Japan;Captain Tsubasa;Time;3.5;70
Japan;Chairman Shima Kosaku;Time;6.388888889;91.26984127
Japan;Claymore;Time;3.62962963;68.77192982
Japan;Clover: Trefle;Time;6.105263158;58.58585859
Japan;Crimson Hero;Time;4.8;82.75862069
Japan;D.N. Angel;Time;5.5;90.16393443
Japan;Dolly Kanon;Time;6.871794872;91.46757679
Japan;Dragon Ball;Time;8.666666667;94.54545455
Japan;Fairy Tail;Time;2.908045977;59.38967136
Japan;Gangoose;Time;5.6;82.35294118
Japan;Giant Killing;Time;3.611111111;67.01030928
Japan;Gintama;Time;5.125;77.35849057
Japan;Gurazeni;Time;8.148148148;92.43697479
Japan;Haikyu!!;Time;3.36;69.4214876
Japan;Haikyuu!!;Time;5.055555556;89.65517241
Japan;Hikaru No Go;Time;6.375;96.22641509
Japan;History's Strongest Disciple Keichi;Time;3.288888889;74.74747475
Japan;HunterXHunter;Time;5.666666667;84.15841584
Japan;Ihoujin;Time;6.6;92.4
Japan;Iromen ~Juunintoiro~;Time;6.666666667;96.96969697
Japan;Kakukaku Shikajika;Time;8.4;84.84848485
Japan;Kimi No Iru Machi;Time;2.735294118;51.0989011
