country,fulltitle,country_OEL,continent,continent_OEL,Situational,panel#,runs,amount,length,averagelength,maxlength,proportion,Frequency,PanelProportion,averagelength%,maxlength%
Belgium/Flanders,Baxter - H2O,Belgium/Flanders,Europe,Europe,Character,153,67,31,98,3.161290323,12,64.05228758,0.202614379,0.640522876,0.020662028,0.078431373
Belgium/Flanders,Bessy  - Ondergang in de grot,Belgium/Flanders,Europe,Europe,Character,156,47,26,73,2.807692308,6,46.79487179,0.166666667,0.467948718,0.017998028,0.038461538
Belgium/Flanders,Bessy Natuurkommando - De nacht van de schildpad,Belgium/Flanders,Europe,Europe,Character,153,45,31,76,2.451612903,5,49.67320261,0.202614379,0.496732026,0.016023614,0.032679739
Belgium/Flanders,Biebel - De Doos,Belgium/Flanders,Europe,Europe,Character,151,64,33,97,2.939393939,10,64.2384106,0.218543046,0.642384106,0.019466185,0.066225166
Belgium/Flanders,De avonturen van Johan en Stefan - De Zondebokken,Belgium/Flanders,Europe,Europe,Character,149,53,31,84,2.709677419,6,56.37583893,0.208053691,0.563758389,0.018185754,0.040268456
Belgium/Flanders,De avonturen van Jommeke - De muzikale Bella,Belgium/Flanders,Europe,Europe,Character,155,71,37,108,2.918918919,11,69.67741935,0.238709677,0.696774194,0.018831735,0.070967742
Belgium/Flanders,De avonturen van Nero en Co - De brief aan Nasser,Belgium/Flanders,Europe,Europe,Character,158,54,29,83,2.862068966,6,52.53164557,0.183544304,0.525316456,0.018114361,0.037974684
Belgium/Flanders,De avonturen van Nero en Co - De hoorn des overvloeds,Belgium/Flanders,Europe,Europe,Character,161,52,30,82,2.733333333,5,50.93167702,0.186335404,0.50931677,0.016977226,0.031055901
Belgium/Flanders,De Avonturen van Urbanus - Tegen de Dikkenekken,Belgium/Flanders,Europe,Europe,Character,161,41,29,70,2.413793103,6,43.47826087,0.180124224,0.434782609,0.014992504,0.037267081
Belgium/Flanders,De Kiekeboes - Vluchtmisdrijf,Belgium/Flanders,Europe,Europe,Character,151,58,30,88,2.933333333,6,58.2781457,0.198675497,0.582781457,0.019426049,0.039735099
Belgium/Flanders,"De Kriegels - Happy Halloween, Mister Zablowski",Belgium/Flanders,Europe,Europe,Character,150,22,16,38,2.375,4,25.33333333,0.106666667,0.253333333,0.015833333,0.026666667
Belgium/Flanders,De Rode Ridder - Het gebroken zwaard,Belgium/Flanders,Europe,Europe,Character,157,57,26,83,3.192307692,6,52.86624204,0.165605096,0.52866242,0.02033317,0.038216561
Belgium/Flanders,De rode ridder - Kerwyn de Magi.r,Belgium/Flanders,Europe,Europe,Character,155,49,27,76,2.814814815,5,49.03225806,0.174193548,0.490322581,0.018160096,0.032258065
Belgium/Flanders,De Spookjes - Spoken en piraten,Belgium/Flanders,Europe,Europe,Character,151,14,10,24,2.4,3,15.89403974,0.066225166,0.158940397,0.01589404,0.01986755
Belgium/Flanders,De Vrolijke Bengels,Belgium/Flanders,Europe,Europe,Character,152,24,19,43,2.263157895,3,28.28947368,0.125,0.282894737,0.014889197,0.019736842
Belgium/Flanders,Detective Van Zwam - Het Geheim van Matsuoka,Belgium/Flanders,Europe,Europe,Character,156,69,30,99,3.3,7,63.46153846,0.192307692,0.634615385,0.021153846,0.044871795
Belgium/Flanders,F.C. De Kampioenen - Miss Moeial,Belgium/Flanders,Europe,Europe,Character,155,39,23,62,2.695652174,8,40,0.148387097,0.4,0.017391304,0.051612903
Belgium/Flanders,FC Schwalbe - Daar is 'm,Belgium/Flanders,Europe,Europe,Character,151,55,30,85,2.833333333,6,56.29139073,0.198675497,0.562913907,0.018763797,0.039735099
Belgium/Flanders,Het Grote Kabouter Wesley Boek,Belgium/Flanders,Europe,Europe,Character,168,56,23,79,3.434782609,10,47.02380952,0.136904762,0.470238095,0.020445135,0.05952381
Belgium/Flanders,Jan Zonder Vrees,Belgium/Flanders,Europe,Europe,Character,151,40,21,61,2.904761905,6,40.39735099,0.139072848,0.40397351,0.019236834,0.039735099
Belgium/Flanders,Jerom - De bronzen kabouter,Belgium/Flanders,Europe,Europe,Character,150,46,29,75,2.586206897,5,50,0.193333333,0.5,0.017241379,0.033333333
Belgium/Flanders,Jommeke - Het piepend bed,Belgium/Flanders,Europe,Europe,Character,154,37,27,64,2.37037037,6,41.55844156,0.175324675,0.415584416,0.015392015,0.038961039
Belgium/Flanders,K3 - De hoed van Ya Ya Yippee,Belgium/Flanders,Europe,Europe,Character,154,54,24,78,3.25,20,50.64935065,0.155844156,0.506493506,0.021103896,0.12987013
Belgium/Flanders,Kari Lente & Co,Belgium/Flanders,Europe,Europe,Character,150,47,26,73,2.807692308,10,48.66666667,0.173333333,0.486666667,0.018717949,0.066666667
Belgium/Flanders,Meesterwerken in Beeld - Robinson Cruso.,Belgium/Flanders,Europe,Europe,Character,91,51,17,68,4,17,74.72527473,0.186813187,0.747252747,0.043956044,0.186813187
Belgium/Flanders,Otto - Op hete kolen,Belgium/Flanders,Europe,Europe,Character,150,111,25,136,5.44,22,90.66666667,0.166666667,0.906666667,0.036266667,0.146666667
Belgium/Flanders,Piet Pienter en Bert Bibber - Invasie uit het heelal,Belgium/Flanders,Europe,Europe,Character,160,42,27,69,2.555555556,8,43.125,0.16875,0.43125,0.015972222,0.05
