country,fulltitle,country_OEL,continent,continent_OEL,panel#,continuityruns,continuityrunamount,continuitylength,continuityaveragelength,continuitymaxlength,continuityproportion,continuityruns%,continuityrunamount%,continuitylength%,continuityaveragelength%,continuitymaxlength%,continuityproportion%
Belgium/Flanders,Baxter - H2O,Belgium/Flanders,Europe,Europe,153,54,29,83,2.862068966,7,54.24836601,0.352941176,0.189542484,0.54248366,0.018706333,0.045751634,0.354564484
Belgium/Flanders,Bessy  - Ondergang in de grot,Belgium/Flanders,Europe,Europe,156,42,27,69,2.555555556,5,44.23076923,0.269230769,0.173076923,0.442307692,0.016381766,0.032051282,0.283530572
Belgium/Flanders,Bessy Natuurkommando - De nacht van de schildpad,Belgium/Flanders,Europe,Europe,153,38,26,64,2.461538462,5,41.83006536,0.248366013,0.169934641,0.418300654,0.016088487,0.032679739,0.27339912
Belgium/Flanders,Biebel - De Doos,Belgium/Flanders,Europe,Europe,151,63,32,95,2.96875,10,62.91390728,0.417218543,0.21192053,0.629139073,0.019660596,0.066225166,0.416648393
Belgium/Flanders,De avonturen van Johan en Stefan - De Zondebokken,Belgium/Flanders,Europe,Europe,149,45,29,74,2.551724138,6,49.66442953,0.302013423,0.194630872,0.496644295,0.017125665,0.040268456,0.333318319
Belgium/Flanders,De avonturen van Jommeke - De muzikale Bella,Belgium/Flanders,Europe,Europe,155,60,38,98,2.578947368,8,63.22580645,0.387096774,0.24516129,0.632258065,0.01663837,0.051612903,0.407908429
Belgium/Flanders,De avonturen van Nero en Co - De brief aan Nasser,Belgium/Flanders,Europe,Europe,158,50,29,79,2.724137931,6,50,0.316455696,0.183544304,0.5,0.017241379,0.037974684,0.316455696
Belgium/Flanders,De avonturen van Nero en Co - De hoorn des overvloeds,Belgium/Flanders,Europe,Europe,161,49,29,78,2.689655172,5,48.44720497,0.304347826,0.180124224,0.48447205,0.016705933,0.031055901,0.300914317
Belgium/Flanders,De Avonturen van Urbanus - Tegen de Dikkenekken,Belgium/Flanders,Europe,Europe,161,37,26,63,2.423076923,6,39.13043478,0.229813665,0.161490683,0.391304348,0.015050167,0.037267081,0.243046179
Belgium/Flanders,De Kiekeboes - Vluchtmisdrijf,Belgium/Flanders,Europe,Europe,151,52,29,81,2.793103448,6,53.64238411,0.344370861,0.19205298,0.536423841,0.018497374,0.039735099,0.355247577
Belgium/Flanders,"De Kriegels - Happy Halloween, Mister Zablowski",Belgium/Flanders,Europe,Europe,150,21,17,38,2.235294118,4,25.33333333,0.14,0.113333333,0.253333333,0.014901961,0.026666667,0.168888889
Belgium/Flanders,De Rode Ridder - Het gebroken zwaard,Belgium/Flanders,Europe,Europe,157,52,26,78,3,6,49.68152866,0.331210191,0.165605096,0.496815287,0.01910828,0.038216561,0.316442858
Belgium/Flanders,De rode ridder - Kerwyn de Magi.r,Belgium/Flanders,Europe,Europe,155,41,28,69,2.464285714,5,44.51612903,0.264516129,0.180645161,0.44516129,0.015898618,0.032258065,0.287200832
Belgium/Flanders,De Spookjes - Spoken en piraten,Belgium/Flanders,Europe,Europe,151,14,10,24,2.4,3,15.89403974,0.092715232,0.066225166,0.158940397,0.01589404,0.01986755,0.105258541
Belgium/Flanders,De Vrolijke Bengels,Belgium/Flanders,Europe,Europe,152,18,15,33,2.2,3,21.71052632,0.118421053,0.098684211,0.217105263,0.014473684,0.019736842,0.14283241
Belgium/Flanders,Detective Van Zwam - Het Geheim van Matsuoka,Belgium/Flanders,Europe,Europe,156,64,32,96,3,7,61.53846154,0.41025641,0.205128205,0.615384615,0.019230769,0.044871795,0.394477318
Belgium/Flanders,F.C. De Kampioenen - Miss Moeial,Belgium/Flanders,Europe,Europe,155,39,23,62,2.695652174,8,40,0.251612903,0.148387097,0.4,0.017391304,0.051612903,0.258064516
Belgium/Flanders,FC Schwalbe - Daar is 'm,Belgium/Flanders,Europe,Europe,151,50,27,77,2.851851852,6,50.99337748,0.331125828,0.178807947,0.509933775,0.018886436,0.039735099,0.337704487
Belgium/Flanders,Het Grote Kabouter Wesley Boek,Belgium/Flanders,Europe,Europe,168,55,23,78,3.391304348,10,46.42857143,0.327380952,0.136904762,0.464285714,0.020186335,0.05952381,0.276360544
Belgium/Flanders,Jan Zonder Vrees,Belgium/Flanders,Europe,Europe,151,37,20,57,2.85,6,37.74834437,0.245033113,0.132450331,0.377483444,0.018874172,0.039735099,0.249989036
