,average_speed,max_speed,average_heartrate,max_heartrate,distance,elapsed_time,moving_time,total_elevation_gain,elev_high,type,start_date_local,kudos_count
0,3.142,5.3,,,11443.2,1:03:50,1:00:42,73.0,115.0,Run,2020-01-18T12:00:36,12
1,3.41,7.4,,,9486.0,0:48:51,0:46:22,36.1,96.9,Run,2020-01-17T19:00:58,13
2,3.273,4.0,,,8854.8,0:45:32,0:45:05,16.0,117.2,Run,2020-01-13T18:37:29,3
3,3.259,4.0,,,7717.5,0:39:35,0:39:28,10.0,131.6,Run,2020-01-10T18:36:52,2
4,3.222,4.0,,,7659.5,0:41:33,0:39:37,12.0,107.4,Run,2020-01-08T18:37:24,17
5,2.927,4.0,,,9693.5,0:57:51,0:55:12,87.0,110.4,Run,2020-01-06T12:47:23,18
6,3.082,3.7,,,9656.1,1:00:58,0:52:13,53.0,95.4,Run,2020-01-05T13:34:19,20
7,3.181,5.0,158.3,166.0,8960.2,0:46:57,0:46:57,249.0,107.8,Run,2020-01-04T10:59:50,27
8,2.727,3.8,127.4,140.0,1848.8,0:16:25,0:11:18,41.0,226.0,Run,2020-01-04T10:34:54,11
9,3.254,5.0,,,7982.2,0:42:20,0:40:53,2.0,136.6,Run,2020-01-03T18:11:25,17
10,3.032,4.1,,,9518.0,0:55:29,0:52:19,172.0,651.8,Run,2020-01-01T10:07:55,17
11,2.108,4.4,,,1486.3,0:15:00,0:11:45,26.0,667.2,Run,2019-12-31T17:35:53,11
12,1.913,4.6,,,13684.4,2:04:42,1:59:13,911.0,1436.4,Run,2019-12-31T09:13:34,16
13,4.951,5.5,,,15695.8,0:55:09,0:52:50,244.0,764.6,Run,2019-12-30T12:23:57,15
14,1.51,4.7,,,18884.0,4:42:24,3:28:24,440.0,1000.4,Run,2019-12-29T10:49:10,16
15,2.662,3.8,,,5329.9,0:35:53,0:33:22,165.0,681.0,Run,2019-12-28T16:32:31,7
16,1.584,5.2,107.0,133.0,11602.0,2:28:38,2:02:03,172.0,955.0,Run,2019-12-28T11:04:28,17
17,2.922,6.1,,,5168.7,0:31:59,0:29:29,107.0,671.2,Run,2019-12-27T16:11:12,10
18,2.687,4.5,,,9006.5,1:01:18,0:55:52,252.0,451.6,Run,2019-12-27T08:50:25,14
19,2.962,3.8,,,5787.9,0:32:47,0:32:34,13.0,139.4,Run,2019-12-26T09:39:25,9
20,3.087,3.7,,,8588.3,0:56:27,0:46:22,19.0,139.0,Run,2019-12-25T18:57:52,10
21,2.904,5.1,,,9096.6,0:52:55,0:52:12,32.0,71.8,Run,2019-12-24T15:28:16,8
22,2.782,3.6,,,4784.5,0:32:51,0:28:40,25.0,128.2,Run,2019-12-22T13:39:55,2
23,3.0,5.0,,,16246.0,1:38:26,1:30:15,117.0,127.4,Run,2019-12-21T13:05:03,10
24,3.092,5.9,132.8,169.0,9708.0,0:52:38,0:52:20,22.0,102.6,Run,2019-12-20T18:57:47,6
25,3.596,7.8,,,13744.8,1:04:25,1:03:42,57.7,96.8,Run,2019-12-19T19:47:26,6
26,3.037,4.2,,,9684.7,0:54:23,0:53:09,29.0,45.2,Run,2019-12-18T18:45:09,3
27,3.041,4.5,,,5792.9,0:54:43,0:31:45,11.0,76.6,Run,2019-12-15T10:42:40,11
28,2.284,3.0,,,440.9,0:04:11,0:03:13,0.0,101.2,Run,2019-12-14T11:27:40,7
29,3.482,5.3,,,10097.3,0:48:20,0:48:20,224.0,113.2,Run,2019-12-14T10:37:13,16
30,2.554,4.3,,,2941.8,0:22:45,0:19:12,59.0,122.8,Run,2019-12-14T10:04:52,11
31,3.185,6.1,,,6437.2,0:40:38,0:33:41,7.0,94.0,Run,2019-12-13T17:04:41,6
32,3.583,6.9,,,11687.3,0:54:37,0:54:22,26.0,98.2,Run,2019-12-11T19:44:30,10
33,1.358,2.4,,,3000.1,0:36:50,0:36:50,0.0,-8.2,Run,2019-12-10T18:39:59,6
34,2.992,3.8,,,5804.0,0:35:15,0:32:20,7.0,109.8,Run,2019-12-09T18:56:12,6
35,2.899,3.9,,,11918.8,1:15:26,1:08:31,33.0,98.2,Run,2019-12-08T11:13:15,13
36,3.087,4.3,,,8955.1,0:51:24,0:48:21,66.0,163.2,Run,2019-12-07T10:58:49,12
37,3.18,5.3,142.5,173.0,9682.5,0:50:51,0:50:45,14.0,129.8,Run,2019-12-06T17:36:56,11
38,3.182,4.6,137.2,155.0,9321.8,0:48:50,0:48:50,13.0,106.6,Run,2019-12-05T18:45:36,12
39,2.98,5.6,134.6,165.0,8879.7,0:51:10,0:49:40,9.0,95.0,Run,2019-12-03T18:05:06,11
40,1.802,4.8,,,5329.7,0:54:14,0:49:17,459.0,546.0,Run,2019-12-01T10:30:35,11
41,2.862,3.6,,,2017.8,0:11:45,0:11:45,43.0,477.4,Run,2019-11-30T13:52:03,7
42,3.391,5.8,,,2621.4,0:12:53,0:12:53,9.0,856.2,Run,2019-11-30T13:33:11,10
43,2.786,4.4,,,1351.4,0:10:01,0:08:05,19.0,918.6,Run,2019-11-30T13:18:20,7
44,2.072,4.4,,,3359.5,0:27:01,0:27:01,465.0,923.2,Run,2019-11-30T12:29:30,9
45,3.318,4.9,,,7647.8,0:39:08,0:38:25,56.0,110.0,Run,2019-11-28T12:07:41,7
46,1.37,2.3,118.7,127.0,3092.1,0:37:37,0:37:37,0.0,144.4,Run,2019-11-26T19:02:17,9
47,3.393,4.3,,,9685.7,0:47:58,0:47:35,7.0,90.8,Run,2019-11-25T19:38:42,9
48,1.283,5.3,,,11095.4,3:04:59,2:24:06,702.0,947.4,Hike,2019-11-23T10:31:54,14
49,3.406,4.2,,,9019.9,0:45:23,0:44:08,33.0,75.8,Run,2019-11-20T19:19:17,9
50,3.263,4.8,,,6473.5,0:36:27,0:33:04,9.0,79.6,Run,2019-11-19T18:36:33,6
51,2.035,4.8,135.2,158.0,9342.8,1:21:20,1:16:31,674.0,1001.4,Run,2019-11-17T08:45:09,20
52,2.301,5.8,,,11904.3,1:28:47,1:26:13,799.0,941.2,Run,2019-11-16T12:34:53,16
53,2.979,3.9,,,8394.1,0:49:38,0:46:58,33.0,88.8,Run,2019-11-14T18:15:43,7
54,3.366,6.0,,,7680.6,0:41:05,0:38:02,7.0,94.6,Run,2019-11-12T18:34:28,5
55,3.212,4.9,,,10043.4,0:52:55,0:52:07,89.0,100.4,Run,2019-11-10T15:06:51,11
56,3.19,4.2,,,7704.0,0:46:34,0:40:15,8.0,90.0,Run,2019-11-09T16:35:35,9
57,3.243,4.6,,,8676.0,0:48:45,0:44:35,152.0,117.2,Run,2019-11-08T17:49:35,10
58,3.129,5.4,,,6930.7,0:43:25,0:36:55,11.0,42.2,Run,2019-11-07T17:09:06,6
59,3.086,4.8,144.0,157.0,9076.5,0:49:01,0:49:01,179.0,987.8,Run,2019-11-03T09:20:39,17
60,1.241,22.3,,,2323.1,0:41:10,0:31:12,99.0,349.6,Hike,2019-11-02T15:22:18,9
61,3.061,4.5,143.4,157.0,7235.4,0:40:28,0:39:24,143.0,1037.4,Run,2019-11-02T09:10:20,12
62,3.445,7.8,,,11836.5,1:05:35,0:57:16,178.0,970.4,Run,2019-11-01T16:12:12,16
63,1.222,3.1,,,6327.0,2:22:35,1:26:19,292.0,1062.4,Hike,2019-11-01T10:46:13,13
64,3.396,5.2,,,9055.9,0:50:02,0:44:27,37.0,35.2,Run,2019-10-29T18:33:08,9
65,3.305,4.2,,,2158.3,0:10:58,0:10:53,2.0,29.8,Run,2019-10-28T18:18:38,3
66,3.038,4.2,,,12510.6,1:37:21,1:08:38,28.0,80.4,Run,2019-10-27T10:50:32,12
67,2.839,3.7,,,5464.5,0:46:07,0:32:05,18.0,92.0,Run,2019-10-26T12:16:09,7
68,3.191,3.8,,,5648.5,0:37:30,0:29:30,6.0,84.4,Run,2019-10-23T18:47:50,4
69,3.255,5.8,,,10783.3,2:00:05,0:55:13,20.0,79.0,Run,2019-10-22T14:29:38,14
70,4.636,7.5,,,11855.3,0:45:37,0:42:37,34.0,95.2,Ride,2019-10-21T17:35:29,8
71,4.707,7.4,,,13378.0,0:52:10,0:47:22,42.0,81.2,Ride,2019-10-21T15:58:20,9
72,3.136,4.2,,,6604.7,0:40:13,0:35:06,19.0,78.6,Run,2019-10-20T09:31:40,10
73,2.967,3.5,,,6008.3,0:36:12,0:33:45,4.0,64.4,Run,2019-10-17T17:31:46,3
74,1.474,3.3,,,7531.8,1:29:42,1:25:11,466.0,865.4,Hike,2019-10-14T09:22:56,6
75,1.072,2.0,,,18605.5,7:27:31,4:49:08,1135.0,1839.4,Hike,2019-10-13T09:13:37,18
76,1.475,2.4,,,6662.9,2:23:45,1:15:17,202.0,1093.8,Hike,2019-10-12T14:42:31,8
77,3.16,4.2,,,9840.1,0:54:05,0:51:54,35.0,103.2,Run,2019-10-08T16:59:51,8
78,5.457,8.0,,,12098.8,0:42:08,0:36:57,34.0,69.4,Ride,2019-10-07T07:57:28,5
79,2.742,4.8,76.0,76.0,7320.0,0:46:18,0:44:30,175.0,114.4,Run,2019-10-05T09:23:09,13
80,3.096,3.7,,,6742.3,0:37:16,0:36:18,46.0,97.2,Run,2019-10-04T18:36:32,9
81,3.054,4.1,,,8606.4,0:49:10,0:46:58,49.0,65.0,Run,2019-10-03T18:26:59,10
82,3.121,5.0,,,6317.3,0:35:57,0:33:44,29.0,119.8,Run,2019-10-02T08:06:44,5
83,2.483,4.2,,,5412.4,0:38:04,0:36:20,221.0,130.2,Run,2019-09-29T10:02:48,14
84,3.058,3.5,,,7448.3,0:43:12,0:40:36,14.0,128.8,Run,2019-09-26T18:34:17,11
85,3.247,4.0,,,10790.1,0:56:15,0:55:23,47.0,121.6,Run,2019-09-24T18:32:44,14
86,3.205,4.0,,,5984.6,0:32:37,0:31:07,11.0,82.6,Run,2019-09-19T18:10:20,4
